STATION_NAME,LATITUDE,LONGITUDE,DATE,CLDD,HTDD,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
LAKEPORT,43.55,-71.46667,19951101,0,4964,333,51,1204,76,156,-100,56,-21,18
LAKEPORT,43.55,-71.46667,19951201,0,7116,130,356,598,649,50,-150,-9,-84,-47
LAKEPORT,43.55,-71.46667,19960101,0,7671,320,483,1267,558,128,-211,-13,-116,-64
LAKEPORT,43.55,-71.46667,19960201,0,7021,333,279,856,381,106,-211,-6,-112,-59
LAKEPORT,43.55,-71.46667,19960301,0,5958,168,381,504,471,161,-178,49,-68,-9
LAKEPORT,43.55,-71.46667,19960401,0,3562,739,203,2020,303,250,-44,121,8,64
LAKEPORT,43.55,-71.46667,19960501,49,1966,434,0,1683,0,317,-6,183,59,121
LAKEPORT,43.55,-71.46667,19960601,387,154,335,0,729,0,311,78,247,135,191
LAKEPORT,43.55,-71.46667,19960701,718,71,696,0,2588,0,300,111,256,152,204
LAKEPORT,43.55,-71.46667,19960801,878,32,86,0,173,0,317,117,270,150,210
LAKEPORT,43.55,-71.46667,19960901,290,762,150,0,709,0,306,33,219,116,167
LAKEPORT,43.55,-71.46667,19961001,0,2931,1100,0,2236,0,217,-22,145,32,88
LAKEPORT,43.55,-71.46667,19961101,0,5004,168,0,580,0,194,-111,62,-29,16
LAKEPORT,43.55,-71.46667,19961201,0,5730,460,406,1972,428,117,-128,31,-35,-2
LAKEPORT,43.55,-71.46667,19970101,0,7823,226,254,889,471,72,-228,-21,-118,-69
LAKEPORT,43.55,-71.46667,19970201,0,6027,249,381,740,380,172,-178,29,-93,-32
LAKEPORT,43.55,-71.46667,19970301,0,6109,246,229,904,495,161,-178,42,-70,-14
LAKEPORT,43.55,-71.46667,19970401,0,3913,460,51,1066,51,200,-83,110,-5,53
LAKEPORT,43.55,-71.46667,19970501,0,2354,267,0,699,0,267,-17,163,51,107
LAKEPORT,43.55,-71.46667,19970601,599,425,419,0,810,0,328,61,256,122,189
LAKEPORT,43.55,-71.46667,19970701,951,68,589,0,1404,0,322,111,272,151,212
LAKEPORT,43.55,-71.46667,19970801,714,61,213,0,822,0,333,106,263,145,204
LAKEPORT,43.55,-71.46667,19970901,173,933,155,0,435,0,272,28,214,101,158
LAKEPORT,43.55,-71.46667,19971001,51,2852,86,0,317,0,267,-39,147,38,93
LAKEPORT,43.55,-71.46667,19971101,0,4771,345,203,1428,266,183,-89,65,-17,24
LAKEPORT,43.55,-71.46667,19971201,0,6280,173,152,602,317,89,-133,23,-62,-20
LAKEPORT,43.55,-71.46667,19980101,0,6867,343,203,1188,381,100,-189,2,-79,-39
LAKEPORT,43.55,-71.46667,19980201,0,5502,307,127,920,89,106,-167,43,-70,-13
LAKEPORT,43.55,-71.46667,19980301,0,5201,351,254,1097,496,244,-161,71,-41,15
LAKEPORT,43.55,-71.46667,19980401,0,3058,262,0,595,0,283,-17,146,16,81
LAKEPORT,43.55,-71.46667,19980501,140,975,203,0,689,0,322,28,221,91,156
LAKEPORT,43.55,-71.46667,19980601,391,528,500,0,2805,0,300,56,225,132,178
LAKEPORT,43.55,-71.46667,19980701,1089,36,335,0,890,0,339,111,274,160,217
LAKEPORT,43.55,-71.46667,19980801,1076,43,323,0,834,0,328,94,277,156,216
LAKEPORT,43.55,-71.46667,19980901,216,571,178,0,498,0,306,33,231,111,171
LAKEPORT,43.55,-71.46667,19981001,0,2378,396,,973,0,244,0,156,56,106
LAKEPORT,43.55,-71.46667,19981101,0,4205,343,0,780,0,150,-33,78,7,43
LAKEPORT,43.55,-71.46667,19981201,0,5359,99,152,309,183,206,-183,57,-37,10
LAKEPORT,43.55,-71.46667,19990101,0,7648,267,279,1528,520,94,-217,-12,-115,-64
LAKEPORT,43.55,-71.46667,19990201,0,5969,302,203,493,101,89,-189,28,-88,-30
LAKEPORT,43.55,-71.46667,19990301,0,5307,333,0,1316,0,167,-139,61,-37,12
LAKEPORT,43.55,-71.46667,19990401,0,3263,48,0,147,0,189,-56,139,9,74
LAKEPORT,43.55,-71.46667,19990501,56,1115,384,0,696,0,311,22,215,83,149
LAKEPORT,43.55,-71.46667,19990601,1076,158,267,0,557,0,344,78,280,147,214
LAKEPORT,43.55,-71.46667,19990701,1486,13,554,0,1167,0,344,111,287,174,231
LAKEPORT,43.55,-71.46667,19990801,732,148,290,0,843,0,328,61,263,141,202
LAKEPORT,43.55,-71.46667,19990901,574,501,973,0,2485,0,333,56,239,132,185
LAKEPORT,43.55,-71.46667,19991001,0,3074,198,0,961,0,244,-28,144,24,84
LAKEPORT,43.55,-71.46667,19991101,0,3620,119,0,530,0,200,-56,110,15,62
LAKEPORT,43.55,-71.46667,19991201,0,6013,229,0,455,0,122,-150,27,-49,-11
LAKEPORT,43.55,-71.46667,20000101,0,7877,284,229,932,427,139,-228,-23,-119,-71
LAKEPORT,43.55,-71.46667,20000201,0,6541,180,483,923,553,128,-206,13,-98,-43
LAKEPORT,43.55,-71.46667,20000301,0,4742,305,178,1062,318,172,-133,92,-32,30
LAKEPORT,43.55,-71.46667,20000401,0,3551,300,0,1378,0,244,-39,115,14,65
LAKEPORT,43.55,-71.46667,20000501,48,1606,193,0,975,0,311,6,197,69,133
LAKEPORT,43.55,-71.46667,20000601,519,547,320,0,1069,0,317,61,243,122,182
LAKEPORT,43.55,-71.46667,20000701,540,81,569,0,1425,0,306,94,255,141,198
LAKEPORT,43.55,-71.46667,20000801,543,156,216,0,719,0,306,83,251,140,195
LAKEPORT,43.55,-71.46667,20000901,234,982,157,0,516,0,317,-11,218,98,158
LAKEPORT,43.55,-71.46667,20001001,3,2689,351,0,837,0,250,-22,155,38,96
LAKEPORT,43.55,-71.46667,20001101,0,4209,409,0,1044,0,172,-106,83,2,43
LAKEPORT,43.55,-71.46667,20001201,0,7223,231,254,910,280,139,-172,-4,-96,-50
LAKEPORT,43.55,-71.46667,20010101,0,7576,165,279,373,274,39,-178,-6,-117,-61
LAKEPORT,43.55,-71.46667,20010201,0,6468,386,711,780,763,89,-167,8,-104,-48
LAKEPORT,43.55,-71.46667,20010301,0,6074,638,711,1860,1142,122,-172,39,-65,-13
LAKEPORT,43.55,-71.46667,20010401,0,3598,122,533,201,0,278,-44,133,-7,63
LAKEPORT,43.55,-71.46667,20010501,120,1206,241,0,579,0,322,0,220,76,148
LAKEPORT,43.55,-71.46667,20010601,735,307,470,0,1254,0,333,56,257,138,197
LAKEPORT,43.55,-71.46667,20010701,850,85,142,0,700,0,344,89,268,147,208
LAKEPORT,43.55,-71.46667,20010801,1547,11,122,0,184,0,361,106,298,167,233
LAKEPORT,43.55,-71.46667,20010901,352,562,307,0,1023,0,322,50,240,112,176
LAKEPORT,43.55,-71.46667,20011001,29,2117,104,0,319,0,267,-28,175,47,111
LAKEPORT,43.55,-71.46667,20011101,0,3892,81,0,321,0,200,-56,100,6,53
LAKEPORT,43.55,-71.46667,20011201,0,5313,196,102,746,89,200,-89,51,-28,12
LAKEPORT,43.55,-71.46667,20020101,0,6241,127,279,545,355,89,-144,22,-59,-18
LAKEPORT,43.55,-71.46667,20020201,0,5965,231,203,683,177,139,-189,28,-88,-30
LAKEPORT,43.55,-71.46667,20020301,0,5504,302,178,937,216,156,-122,55,-44,5
LAKEPORT,43.55,-71.46667,20020401,53,3094,216,25,992,25,333,-61,144,20,82
LAKEPORT,43.55,-71.46667,20020501,72,2004,457,0,1038,0,272,-6,182,59,121
LAKEPORT,43.55,-71.46667,20020601,423,546,259,0,1196,0,328,44,235,123,179
LAKEPORT,43.55,-71.46667,20020701,1218,38,41,0,128,0,361,106,283,162,222
LAKEPORT,43.55,-71.46667,20020801,1409,46,318,0,527,0,361,106,296,158,227
LAKEPORT,43.55,-71.46667,20020901,530,388,457,0,909,0,350,44,249,126,188
LAKEPORT,43.55,-71.46667,20021001,46,3076,221,0,666,0,267,-44,135,35,85
LAKEPORT,43.55,-71.46667,20021101,0,4875,277,76,1261,216,200,-94,59,-18,21
LAKEPORT,43.55,-71.46667,20021201,0,6695,244,279,747,398,67,-167,10,-76,-33
LAKEPORT,43.55,-71.46667,20030101,0,8760,282,406,637,503,33,-233,-48,-151,-100
LAKEPORT,43.55,-71.46667,20030201,0,7140,165,559,640,395,100,-256,-17,-127,-72
LAKEPORT,43.55,-71.46667,20030301,0,6021,241,508,717,152,211,-239,61,-84,-11
LAKEPORT,43.55,-71.46667,20030401,0,4084,170,0,763,,256,-83,110,-17,47
LAKEPORT,43.55,-71.46667,20030501,26,1816,310,0,1130,0,300,11,180,70,125
LAKEPORT,43.55,-71.46667,20030601,582,404,183,0,398,0,350,56,246,132,189
LAKEPORT,43.55,-71.46667,20030701,1252,44,234,0,585,0,333,122,278,166,222
LAKEPORT,43.55,-71.46667,20030801,1227,93,561,0,1887,0,317,78,273,166,220
LAKEPORT,43.55,-71.46667,20030901,44,437,427,0,1262,0,267,72,227,113,170
LAKEPORT,43.55,-71.46667,20031001,0,2930,249,0,1285,0,244,-22,143,34,89
LAKEPORT,43.55,-71.46667,20031101,0,4158,180,0,719,0,217,-94,95,-6,44
LAKEPORT,43.55,-71.46667,20031201,0,6401,470,305,1360,648,117,-133,21,-68,-23
LAKEPORT,43.55,-71.46667,20040101,0,8769,79,76,166,109,56,-267,-57,-143,-100
LAKEPORT,43.55,-71.46667,20040201,0,6802,130,178,296,218,89,-222,6,-109,-52
LAKEPORT,43.55,-71.46667,20040301,0,5188,104,102,326,149,172,-133,70,-39,16
LAKEPORT,43.55,-71.46667,20040401,0,3446,411,0,1527,0,294,-50,127,9,68
LAKEPORT,43.55,-71.46667,20040501,93,1389,343,0,1263,0,306,11,204,78,141
LAKEPORT,43.55,-71.46667,20040601,315,534,130,0,634,0,328,67,237,114,176
LAKEPORT,43.55,-71.46667,20040701,787,55,246,0,1062,0,317,122,258,155,207
LAKEPORT,43.55,-71.46667,20040801,864,82,198,0,998,0,322,94,264,152,208
LAKEPORT,43.55,-71.46667,20040901,130,561,340,0,969,0,278,50,229,108,169
LAKEPORT,43.55,-71.46667,20041001,0,2573,315,0,459,0,244,-11,155,45,100
LAKEPORT,43.55,-71.46667,20041101,0,4343,307,0,968,0,167,-83,85,-9,38
LAKEPORT,43.55,-71.46667,20041201,0,6671,307,102,992,206,133,-194,11,-75,-32
LAKEPORT,43.55,-71.46667,20050101,0,7997,114,229,643,698,133,-239,-26,-124,-75
LAKEPORT,43.55,-71.46667,20050201,0,6301,257,254,709,427,122,-183,20,-104,-42
LAKEPORT,43.55,-71.46667,20050301,0,6041,429,356,992,622,172,-178,44,-68,-12
LAKEPORT,43.55,-71.46667,20050401,0,3035,368,0,1358,0,278,-33,153,11,82
LAKEPORT,43.55,-71.46667,20050501,0,2379,307,0,1347,0,272,-44,161,51,106
LAKEPORT,43.55,-71.46667,20050601,990,303,218,0,1491,0,339,89,262,149,206
LAKEPORT,43.55,-71.46667,20050701,1310,38,351,0,862,0,333,117,287,161,224
LAKEPORT,43.55,-71.46667,20050801,1139,14,231,0,691,0,333,111,279,160,219
LAKEPORT,43.55,-71.46667,20050901,423,322,264,0,1003,0,317,67,250,123,186
LAKEPORT,43.55,-71.46667,20051001,54,2380,1379,0,4280,0,267,-17,150,66,108
LAKEPORT,43.55,-71.46667,20051101,0,4122,320,102,1261,102,206,-111,92,0,46
LAKEPORT,43.55,-71.46667,20051201,0,6632,262,229,1106,396,150,-161,8,-70,-31
LAKEPORT,43.55,-71.46667,20060101,0,6349,213,127,988,313,122,-167,26,-70,-22
LAKEPORT,43.55,-71.46667,20060201,0,6296,221,203,549,280,139,-189,8,-92,-42
LAKEPORT,43.55,-71.46667,20060301,0,5597,284,76,336,0,189,-150,54,-49,2
LAKEPORT,43.55,-71.46667,20060401,0,2939,345,0,816,0,256,-22,154,16,85
LAKEPORT,43.55,-71.46667,20060501,110,1694,1003,0,2460,0,311,33,186,78,132
LAKEPORT,43.55,-71.46667,20060601,587,338,411,0,2397,0,339,94,242,140,191
LAKEPORT,43.55,-71.46667,20060701,1528,0,902,0,2113,0,344,128,291,173,232
LAKEPORT,43.55,-71.46667,20060801,728,155,188,0,687,0,350,89,263,141,202
LAKEPORT,43.55,-71.46667,20060901,106,656,117,0,499,0,283,39,226,104,165
LAKEPORT,43.55,-71.46667,20061001,0,2669,419,0,1748,0,256,6,146,48,97
LAKEPORT,43.55,-71.46667,20061101,0,3509,511,0,1128,0,194,-28,109,24,66
LAKEPORT,43.55,-71.46667,20061201,0,5196,378,76,917,89,178,-128,54,-23,15
LAKEPORT,43.55,-71.46667,20070101,0,7019,150,76,643,130,178,-206,1,-88,-43
LAKEPORT,43.55,-71.46667,20070201,0,7365,249,254,404,330,56,-178,-30,-130,-80
LAKEPORT,43.55,-71.46667,20070301,0,6001,284,279,788,394,189,-211,54,-75,-11
LAKEPORT,43.55,-71.46667,20070401,0,3895,554,254,1928,254,278,-61,107,0,53
LAKEPORT,43.55,-71.46667,20070501,145,1515,163,0,760,0,322,22,210,68,139
LAKEPORT,43.55,-71.46667,20070601,576,393,269,0,717,0,344,61,244,135,189
LAKEPORT,43.55,-71.46667,20070701,856,74,356,0,1115,0,328,89,262,155,208
LAKEPORT,43.55,-71.46667,20070801,1031,153,130,0,405,0,344,78,276,146,211
LAKEPORT,43.55,-71.46667,20070901,306,700,325,0,713,0,322,28,230,110,170
LAKEPORT,43.55,-71.46667,20071001,18,1826,226,0,1109,0,272,-6,177,72,125
LAKEPORT,43.55,-71.46667,20071101,0,4657,373,51,1177,38,172,-78,70,-15,28
LAKEPORT,43.54917,-71.46417,20071201,0,7001,157,432,1223,940,100,-133,-3,-82,-43
LAKEPORT,43.54917,-71.46417,20080101,0,6944,145,457,638,477,139,-189,11,-93,-41
LAKEPORT,43.54917,-71.46417,20080201,0,6471,401,711,2026,1058,78,-211,9,-89,-40
LAKEPORT,43.54917,-71.46417,20080301,0,6096,274,737,1077,251,106,-211,42,-70,-14
LAKEPORT,43.54917,-71.46417,20080401,0,3261,518,152,1088,21,278,-67,141,8,74
LAKEPORT,43.54917,-71.46417,20080501,34,1697,53,0,124,0,278,-22,194,64,129
LAKEPORT,43.54917,-71.46417,20080601,519,228,437,0,1893,0,356,100,250,135,193
LAKEPORT,43.54917,-71.46417,20080701,1277,0,333,0,1115,0,328,122,280,169,224
LAKEPORT,43.54917,-71.46417,20080801,623,101,485,0,2476,0,294,100,255,145,200
LAKEPORT,43.54917,-71.46417,20080901,278,664,1026,0,1953,0,311,44,223,117,170
LAKEPORT,43.54917,-71.46417,20081001,6,2675,330,0,759,0,244,-17,155,39,97
LAKEPORT,43.54917,-71.46417,20081101,0,4435,523,0,1175,0,183,-83,71,-1,35
LAKEPORT,43.54917,-71.46417,20081201,0,6447,409,356,1299,585,128,-161,22,-72,-25
