mean.sV[1],mean.sV[2],mean.sF[1],mean.sF[2],mean.fV[1],mean.fV[2],mean.fF[1],mean.fF[2],mean.pV[1],mean.pV[2],mean.pF[1],mean.pF[2],beta.sV[1],beta.sV[2],beta.sF[1],beta.sF[2],beta.fV[1],beta.fV[2],beta.fF[1],beta.fF[2],beta.pV[1],beta.pV[2],beta.pF[1],beta.pF[2],sV0[1],sV0[2],sV1[1],sV1[2],sF0[1],sF0[2],sF1[1],sF1[2],fV0[1],fV0[2],fV1[1],fV1[2],fF0[1],fF0[2],fF1[1],fF1[2],pV0[1],pV0[2],pV1[1],pV1[2],pF0[1],pF0[2],pF1[1],pF1[2],beta1.sV[1],beta1.sV[2],beta1.sF[1],beta1.sF[2],beta1.fV[1],beta1.fV[2],beta1.fF[1],beta1.fF[2],beta1.pV[1],beta1.pV[2],beta1.pF[1],beta1.pF[2],mu.sV[1],mu.sV[2],mu.sF[1],mu.sF[2],mu.fV[1],mu.fV[2],mu.fF[1],mu.fF[2],mu.pV[1],mu.pV[2],mu.pF[1],mu.pF[2],sigma.sV2[1],sigma.sV2[2],sigma.sF2[1],sigma.sF2[2],sigma.fV2[1],sigma.fV2[2],sigma.fF2[1],sigma.fF2[2],sigma.pV2[1],sigma.pV2[2],sigma.pF2[1],sigma.pF2[2],deviance
0.991299883,0.993112986,0.999866925,0.979679842,0.525192459,0.580637427,0.886432366,0.834070927,0.949045775,0.999043421,0.068142285,0.138079675,9.941780913,-3.533947306,0.378495071,-2.559838075,0.302476643,-0.598680933,1.811327589,-0.175588877,1.938803327,2.995611822,-1.132645221,0.650072336,0.991299883,0.993112986,0.999999578,0.80802992,0.999866925,0.979679842,0.999908854,0.788477811,0.525192459,0.580637427,0.599487917,0.432099511,0.886432366,0.834070927,0.97949029,0.808325956,0.949045775,0.999043421,0.992334516,0.999952122,0.068142285,0.138079675,0.023017197,0.234825787,4.313137422,-0.030736917,-0.492648847,0.019992894,-0.008100195,-0.013768648,-0.150893988,-0.103493732,0.478904286,0.71911296,0.142625056,0.135812157,4.735680569,4.971206867,8.924463115,3.875612435,0.10085524,0.325390636,2.054806278,1.614758021,2.924529342,6.951189696,-2.615582195,-1.831331965,5.938101663,0.336683111,19.59427413,3.035023601,8.30E-05,0.000809064,0.307038445,0.103261006,0.004871448,49.5378734,0.394505504,0.143180483,6747.229755
0.987964598,0.985811944,0.999881587,0.980340143,0.48878944,0.570679658,0.903804194,0.837855263,0.911909622,0.999506237,0.077655744,0.127712872,8.658807705,-3.291156757,0.303965027,-2.930872115,0.404118645,-0.850545375,1.602998161,-0.508079312,1.010138863,4.833585648,-0.78759886,1.0225427,0.987964598,0.985811944,0.999997885,0.721096757,0.999881587,0.980340143,0.999912622,0.726800287,0.48878944,0.570679658,0.588863441,0.362178634,0.903804194,0.837855263,0.979024984,0.756627282,0.911909622,0.999506237,0.966016849,0.999996069,0.077655744,0.127712872,0.036889831,0.289298931,3.328978999,0.025006566,-0.472762799,-0.0049534,-0.005014561,-0.013930625,-0.139095794,-0.081956473,0.540941124,0.763221035,0.112388012,0.102049131,4.407794373,4.24106516,9.041217262,3.90932077,-0.044849758,0.284624676,2.240226976,1.642355994,2.337177572,7.612960834,-2.474633016,-1.921334088,3.452487425,0.633746532,14.95007726,2.465332151,0.000249562,0.000350649,0.158301334,0.08452808,0.011487184,44.782303,0.440170213,0.245945532,6747.179467
0.9944179,0.989055015,0.999853331,0.98157179,0.502963612,0.554990921,0.885692839,0.855283727,0.870563327,0.999665366,0.08025874,0.142371306,9.679269983,-3.656158989,0.297685768,-2.702564325,-0.08807205,-0.579451774,1.294215656,-0.848125066,1.147369251,6.582303286,-0.522242652,0.782881366,0.9944179,0.989055015,0.999999649,0.700086461,0.999853331,0.98157179,0.999891089,0.781205993,0.502963612,0.554990921,0.480954853,0.411299791,0.885692839,0.855283727,0.965831877,0.71677759,0.870563327,0.999665366,0.954925558,0.999999536,0.08025874,0.142371306,0.049215474,0.266422197,2.746704727,0.067318686,-0.476166115,0.012372226,0.017567086,-0.024632035,-0.107341301,-0.050423684,0.254009445,0.681815185,0.053490894,0.094126616,5.182592491,4.503868603,8.827184139,3.975272517,0.011854588,0.220857071,2.047480986,1.776658174,1.905948758,8.002138989,-2.438836724,-1.79573277,0.569942244,0.337020357,23.63239018,1.497733693,0.0003153,0.000776604,0.322686373,0.159101591,0.045467767,42.2076719,0.302964141,0.229514335,6706.519274
0.994800205,0.992696673,0.999841824,0.977053209,0.530436932,0.562775403,0.881665569,0.834503373,0.850356366,0.999974148,0.09891337,0.157960872,5.882735098,-3.776123802,-0.212087056,-2.279547108,0.387492601,-0.482792052,1.324192774,-0.958552126,0.741807645,6.641244231,-0.849862746,1.131580999,0.994800205,0.992696673,0.999985432,0.756939212,0.999841824,0.977053209,0.999804461,0.813333237,0.530436932,0.562775403,0.624663711,0.44266371,0.881665569,0.834503373,0.965526772,0.65911073,0.850356366,0.999974148,0.922671199,0.999999966,0.09891337,0.157960872,0.044821096,0.36774614,2.331185847,0.033869683,-0.436615066,0.000378989,-0.029568163,-0.010664562,-0.09478454,-0.015005506,0.149686639,0.727153047,0.100321963,0.078957945,5.253922685,4.91209518,8.7516447,3.75136301,0.121898449,0.252433604,2.008298036,1.617885969,1.737398824,10.56311276,-2.209356981,-1.673479128,4.467897824,0.916030147,17.51936928,3.452991392,0.000128589,0.000479782,0.225118333,0.068667433,0.035968204,36.76451219,0.493932267,0.462620332,6818.162312
0.991775032,0.982678949,0.999867038,0.973913316,0.508346137,0.551665391,0.905696414,0.845090922,0.899488834,0.999981254,0.117638446,0.166869788,9.199613712,-3.328201049,-0.080525498,-2.098522567,0.156586445,-0.654028849,1.44118789,-1.005840374,0.477828524,6.78857197,-1.176011506,1.195205913,0.991775032,0.982678949,0.999999162,0.670436257,0.999867038,0.973913316,0.99985589,0.820740832,0.508346137,0.551665391,0.5473512,0.390163023,0.905696414,0.845090922,0.975952264,0.666137193,0.899488834,0.999981254,0.93519585,0.999999979,0.117638446,0.166869788,0.039505912,0.398248056,3.07978636,0.015649112,-0.434881266,0.009295946,-0.026685166,-0.013555126,-0.122408845,-0.078482676,0.094375514,0.881216054,0.116168855,0.081056002,4.79232189,4.038359892,8.925312906,3.619897326,0.033387649,0.207401839,2.262184948,1.696605868,2.19155781,10.88450009,-2.014985989,-1.607976153,0.91383696,0.798814737,15.9470117,2.227574258,8.21E-05,0.000335185,0.507558406,0.031918482,0.022465705,53.17871653,0.351022545,0.302351909,6753.742188
0.982918855,0.980676074,0.999805642,0.975520844,0.531496493,0.498660589,0.885263639,0.83557538,0.952102769,0.999994136,0.130308291,0.175220525,3.392871507,-2.939382646,0.104242648,-1.991617829,0.132201431,-0.62447763,1.152516662,-1.433349229,-0.090771922,5.549466331,-1.688549223,1.163641582,0.982918855,0.980676074,0.999416232,0.728596912,0.999805642,0.975520844,0.999824879,0.844688052,0.531496493,0.498660589,0.564231735,0.347547887,0.885263639,0.83557538,0.960674602,0.547932131,0.952102769,0.999994136,0.94778923,0.999999977,0.130308291,0.175220525,0.026941276,0.404818125,2.810217841,-0.015571789,-0.444468915,-0.005248959,-0.001551646,-0.011367439,-0.081119912,-0.008961146,0.117630093,0.814925603,0.115046397,0.058471601,4.052551362,3.926898166,8.54561464,3.685149555,0.126153012,-0.005357655,2.043248512,1.625668337,2.989615281,12.04658909,-1.898235679,-1.549070722,0.516845391,0.2624095,30.7161026,5.234555038,4.92E-05,0.000367101,0.448572647,0.032872709,0.062005129,47.51892618,0.302882854,0.22550571,6682.515868
0.990193672,0.975153983,0.999823376,0.970845006,0.54321051,0.571803012,0.894209433,0.795362004,0.974393666,0.999987348,0.108984207,0.202857264,6.098452058,-2.668343701,0.043834023,-1.791142986,-0.036119098,-0.275562146,1.100012784,-0.832919131,0.33067869,4.286225864,-1.204207436,0.982284086,0.990193672,0.975153983,0.999977754,0.731364051,0.999823376,0.970845006,0.99983095,0.847405807,0.54321051,0.571803012,0.534235143,0.503412212,0.894209433,0.795362004,0.962111818,0.628231105,0.974393666,0.999987348,0.981469889,0.999999826,0.108984207,0.202857264,0.035387541,0.404621068,3.116124466,-0.01612081,-0.43456455,0.057956818,-0.017692749,-0.055342944,-0.100066186,-0.008742403,0.182075767,0.923809725,0.093619084,0.03358156,4.614872681,3.66989794,8.641312453,3.505540612,0.173274275,0.289211205,2.134478654,1.357554819,3.638975638,11.27764684,-2.101159172,-1.368531154,0.843592057,0.237923643,15.01878261,2.596439958,7.72E-06,0.000154908,0.341807289,0.033065453,0.118632958,41.97976746,0.252197925,0.084728447,6571.558612
0.993663268,0.975446305,0.999773076,0.969373301,0.587486108,0.506100493,0.895342453,0.80093718,0.968949263,0.999976493,0.109307696,0.215820874,7.432726259,-2.238132343,-0.033170355,-2.038731975,0.115262691,-0.0534487,1.492629435,-0.456147113,-1.542414242,3.88468825,-1.262510524,0.991196915,0.993663268,0.975446305,0.999996227,0.809057925,0.999773076,0.969373301,0.999765424,0.80471775,0.587486108,0.506100493,0.615110443,0.492739131,0.895342453,0.80093718,0.97439782,0.718293994,0.968949263,0.999976493,0.869684885,0.999999517,0.109307696,0.215820874,0.033558105,0.425803969,3.808955964,-0.005086224,-0.45016431,0.105928145,-0.020301239,-0.037487604,-0.12954763,-0.061818515,0.259471787,0.971973451,0.110206616,0.039597225,5.055035182,3.682032746,8.390668541,3.454777622,0.353582717,0.024403184,2.14651271,1.392162064,3.440589708,10.65819612,-2.097832229,-1.290188697,1.3591105,0.607229678,7.994900996,5.382864694,1.19E-05,0.000701148,0.255857225,0.014868932,0.072153684,41.31164513,0.536920361,0.146726635,6688.899111
0.994811418,0.972777828,0.999742623,0.973892837,0.57411092,0.531918049,0.928528905,0.774507893,0.967461616,0.99996451,0.102662112,0.2387215,7.336667358,-2.234003139,0.050717904,-1.992284171,0.217620832,-0.192095075,0.975111231,0.07627151,-0.144994111,5.033441357,-1.182718419,0.582280042,0.994811418,0.972777828,0.999996603,0.792838491,0.999742623,0.973892837,0.999755348,0.835731812,0.57411092,0.531918049,0.626273871,0.483943266,0.928528905,0.774507893,0.971788806,0.787548998,0.967461616,0.99996451,0.962574573,0.999999769,0.102662112,0.2387215,0.033871995,0.359526096,3.209653364,0.02057284,-0.465092052,0.054828604,-0.033989654,-0.050813591,-0.115465221,-0.094146729,0.022230103,1.323193977,0.090476322,0.067370968,5.256092709,3.576123949,8.264712623,3.619091548,0.298643683,0.127846046,2.564308414,1.233942695,3.392255309,10.24621373,-2.16798935,-1.159701655,2.005887704,1.518264434,12.28344468,2.329066379,8.08E-06,0.001498212,0.620571204,0.01206723,0.03673653,46.62862708,0.330838608,0.166349821,6720.752113
0.989764233,0.965798354,0.999738871,0.9770228,0.520823326,0.49626042,0.931216864,0.779311084,0.969573239,0.999877455,0.113340617,0.2006059,9.073862924,-2.045092514,0.22251815,-2.357904519,0.259937246,0.07482189,1.175160955,-0.058625952,0.797887497,5.39387962,-1.030561629,0.916668578,0.989764233,0.965798354,0.999998815,0.785091649,0.999738871,0.9770228,0.999790955,0.800927768,0.520823326,0.49626042,0.584986751,0.514961355,0.931216864,0.779311084,0.977701708,0.769063412,0.969573239,0.999877455,0.986066407,0.999999443,0.113340617,0.2006059,0.04362061,0.385600572,3.275509032,0.009630549,-0.452390887,0.054829273,-0.019424646,-0.058749982,-0.105325177,-0.090028651,-0.091524494,1.066835046,0.064993687,0.055871651,4.571578581,3.340681312,8.250235657,3.75000755,0.083341508,-0.014958598,2.605533593,1.261656214,3.461533492,9.006909111,-2.057063303,-1.382511781,2.751543449,0.904277794,13.59152151,2.798837428,1.09E-05,0.001738326,0.491761199,0.006051618,0.04399591,45.52517282,0.35548787,0.078575883,6637.182113
0.995780737,0.95963269,0.999703105,0.973702932,0.524501267,0.534406436,0.927388675,0.771640708,0.936786492,0.999994993,0.12089686,0.235049816,7.708964868,-1.836712175,0.349374931,-2.424185218,-0.214887128,-0.087436837,1.038676647,0.350324502,1.197383075,6.372601517,-1.096585918,1.014556832,0.995780737,0.95963269,0.999998098,0.791141214,0.999703105,0.973702932,0.999790633,0.766287121,0.524501267,0.534406436,0.470832278,0.512599021,0.927388675,0.771640708,0.973036264,0.827487358,0.936786492,0.999994993,0.980029382,0.999999991,0.12089686,0.235049816,0.043916701,0.458730005,3.007666936,-0.047791128,-0.445711202,0.068622952,0.033098319,-0.061962189,-0.147518773,-0.133875275,-0.097615506,1.050019624,0.079532865,0.018859501,5.463866674,3.168530294,8.121835601,3.611648803,0.098083625,0.137843592,2.547251861,1.217598807,2.695937384,12.20460004,-1.983964439,-1.180013239,0.575471693,0.473559445,15.35974825,4.173602808,1.62E-05,0.000795861,0.487106312,0.001060609,0.059081599,41.06683776,0.465016314,0.069204488,6674.231789
0.994944175,0.947783196,0.999662153,0.975995839,0.517049474,0.549110552,0.924390512,0.766604229,0.946216978,0.999803083,0.07482773,0.229434322,6.624079659,-1.171746873,0.657218166,-2.884252447,0.179563818,-0.184647051,1.109031583,-0.025172342,0.956891762,8.57955539,-0.951538373,0.473117539,0.994944175,0.947783196,0.999993252,0.849025022,0.999662153,0.975995839,0.999824868,0.694444049,0.517049474,0.549110552,0.561632018,0.503107599,0.924390512,0.766604229,0.973726878,0.762070149,0.946216978,0.999803083,0.978635024,0.999999963,0.07482773,0.229434322,0.030285584,0.323356187,3.409942518,-0.071068177,-0.449256737,0.087518854,-0.01857356,-0.063223076,-0.143895372,-0.093682135,-0.004197599,1.080079272,0.09462802,0.091576637,5.282145535,2.898721419,7.992579998,3.705231134,0.068224347,0.197077606,2.503552831,1.189235066,2.867514059,8.53253291,-2.514791414,-1.211508085,0.486876162,0.523930755,12.04554464,3.122361688,1.41E-05,0.001264301,0.530150927,0.000469795,0.127733627,44.78552357,0.39723441,0.149968448,6582.926232
0.991711231,0.95132871,0.999717994,0.97709759,0.591178035,0.533301069,0.92199358,0.766134618,0.98299076,0.999760777,0.069580954,0.240691295,4.325496514,-1.205261301,0.925293043,-2.778709503,0.143666398,-0.063573207,1.337855261,-0.311735757,2.250500552,9.109248898,-0.936120198,0.610855358,0.991711231,0.95132871,0.99988946,0.85414762,0.999717994,0.97709759,0.999888189,0.726042363,0.591178035,0.533301069,0.62539325,0.517450048,0.92199358,0.766134618,0.978280849,0.705759378,0.98299076,0.999760777,0.998180448,0.999999974,0.069580954,0.240691295,0.028490942,0.368644138,2.476133131,-0.047838374,-0.46022579,0.082919612,-0.046863287,-0.070977246,-0.146887844,-0.063140613,-0.200188273,1.048060134,0.102213231,0.064513099,4.784530448,2.972770325,8.173298858,3.753344382,0.368837446,0.133401759,2.469747132,1.186612236,4.056842998,8.337875758,-2.593144186,-1.148893242,0.449832824,0.739644374,15.12061749,2.876700635,0.000102006,0.000964269,0.219539951,0.002539209,0.105015489,46.96023751,0.812032923,0.254629333,6589.631179
0.993360375,0.952125794,0.999746186,0.982018596,0.510178209,0.496553131,0.909312134,0.78605097,0.97835996,0.999880466,0.093327353,0.181031715,0.364800332,-1.152926855,0.953186149,-2.870538115,0.349021012,-0.378396401,1.519477672,-0.494149124,2.004381961,7.661462244,-1.226235289,0.888972106,0.993360375,0.952125794,0.995380499,0.862616443,0.999746186,0.982018596,0.999902137,0.75578981,0.510178209,0.496553131,0.596219981,0.403191635,0.909312134,0.78605097,0.978642063,0.691498591,0.97835996,0.999880466,0.997028505,0.999999944,0.093327353,0.181031715,0.029314976,0.349690252,2.413351355,-0.071321233,-0.452208188,0.083344581,-0.019611422,-0.006942766,-0.171643894,-0.068663728,-0.177622243,1.298843114,0.114312558,0.096995786,5.008037995,2.990120298,8.278653543,4.000272136,0.040718459,-0.013787696,2.305264849,1.301283828,3.811332363,9.031789232,-2.273668228,-1.509373121,0.669903809,0.222892251,11.64678434,4.210359815,0.000116279,0.000329612,0.293012525,0.00287628,0.095084794,57.11833521,0.382870826,0.098782926,6477.508189
